gene,clone1_exp,clone2_exp,log2_fc,fdr
Nhej1,0.00422629910671405,0.00958083832335329,-1.18075702295191,0.00030125506901423
Zfp46,0.0029776198251849,0.00818363273453094,-1.45858183509926,0.000303752421817495
Hinfp,0.0034578810873115,0.00958083832335329,-1.4702636401469,0.000308338131332339
Pigv,0.00422629910671405,0.00858283433133732,-1.02205927693285,0.00030982860603038
Foxq1,0.00576313514551916,0.0121756487025948,-1.07907288282242,0.000312801479503349
Gstm3,0.0059552396503698,0.0131736526946108,-1.14542394983963,0.000315873112822922
Gm37494,0.00316972433003554,0.00758483033932136,-1.25875953495318,0.00031931186946742
Zfp628,0.00489866487369129,0.0107784431137725,-1.13768830106003,0.000332590323329753
Alg2,0.00422629910671405,0.00958083832335329,-1.18075702295191,0.000345687072230799
Lcmt2,0.00441840361156469,0.00958083832335329,-1.1166266855322,0.00034574056511809
Asb1,0.00307367207761022,0.00718562874251497,-1.22515114231037,0.00035061057975024
Tsga10,0.00384209009701277,0.00838323353293413,-1.12561546875945,0.000352875436388175
Cecr5,0.00470656036884065,0.0105788423153693,-1.16843675131604,0.000354495802799589
B3gnt3,0.00422629910671405,0.0093812375249501,-1.15038337390839,0.000356288383366583
Hs1bp3,0.00566708289309384,0.0121756487025948,-1.1033204290691,0.000357973497839982
Zfp870,0.00480261262126597,0.00998003992015968,-1.05522614086805,0.000367616681468594
Alpl,0.00134473153395447,0.00439121756487026,-1.70730283744775,0.000376166956242581
Spon1,0.00489866487369129,0.0107784431137725,-1.13768830106003,0.000376198006627624
Fpgt,0.00566708289309384,0.011377245508982,-1.00547310567095,0.000380270260775901
A630001G21Rik,0.00441840361156469,0.00918163672654691,-1.05522614086805,0.000384262682614696
Ptpn7,0.00653155316492172,0.0029940119760479,1.12534610477377,0.000390093579084809
Nmnat3,0.00633944866007108,0.0131736526946108,-1.05522614086805,0.000393696025483502
Sbsn,0.00691576217462299,0.00339321357285429,1.02723601932392,0.000397355256124483
G430095P16Rik,0.00758812794160023,0.0031936127744511,1.24855460730905,0.000407683208753087
Ccdc171,0.00451445586399001,0.0093812375249501,-1.05522614086805,0.000414271879825068
Myzap,0.00576313514551916,0.0115768463073852,-1.00631654038711,0.00041993902888765
Wdr47,0.00451445586399001,0.00978043912175649,-1.11534713330562,0.000423067802282143
Smpd3,0.00230525405820766,0.00598802395209581,-1.37715423575542,0.000434517914449319
Zfp748,0.00374603784458746,0.00878243512974052,-1.2292555406431,0.000452950564844453
Prickle2,0.00662760541734704,0.0141716566866267,-1.09644880359457,0.00045456652033372
Tfdp1,0.0064355009124964,0.0131736526946108,-1.03353106976873,0.000457298025140513
Prx,0.00816444145615215,0.00399201596806387,1.03223670038229,0.000458233160854334
Actr5,0.00422629910671405,0.0093812375249501,-1.15038337390839,0.000466053045807128
Als2,0.00566708289309384,0.0119760479041916,-1.07947368711473,0.000501311942950825
Fbln5,0.00624339640764576,0.00259481037924152,1.26670195401931,0.000502120871130961
Stbd1,0.00393814234943809,0.00898203592814371,-1.18952723257964,0.000507334948439027
Alg10b,0.00470656036884065,0.0101796407185629,-1.11294163872434,0.000521436440300787
Fos,0.00499471712611661,0.0101796407185629,-1.02721176469846,0.000568922816340414
A930004J17Rik,0.00384209009701277,0.00818363273453094,-1.09085005059877,0.000573919637087444
Ap3m2,0.00528287388339257,0.0119760479041916,-1.18075702295191,0.000583006269329293
Adal,0.00432235135913937,0.00918163672654691,-1.08693500059539,0.000590560110005403
