xcoord,ycoord,dna_cluster
1677,1385.865,2
2577.055,3085.225,0
2763.28,1661.14,1
2062.45,2857.01,3
3396.12,1643.135,1
2451.345,3008.135,3
3359.525,1417.325,2
1054.04,2432.69,2
2243.215,2989.35,0
1213.16,3062.215,0
2336.36,3141.32,0
3438.24,2049.515,0
2742.285,2678.78,3
752.57,2412.475,2
2468.245,2413.645,3
3123.835,1266.655,2
1100.255,2463.565,2
2780.31,2381.535,2
2556.97,3362.255,0
2369.315,2842.775,0
763.945,2659.345,0
1068.08,3004.105,0
2958.15,1293.305,2
1519.05,2515.955,2
2805.66,934.505,2
3075.345,1652.3,2
2404.285,3404.505,0
1999.27,1029.47,2
2390.83,3175.575,0
2983.305,1195.22,2
939.51,2251.6,2
3132.22,1568.84,3
1035.84,2557.62,0
2358.655,3083.535,0
3510.715,1751.555,1
1390.48,2672.02,2
3114.28,1118.13,2
3040.05,1556.295,3
2402.66,3214.055,0
3028.09,1132.105,2
2905.435,1506.44,2
3017.235,1508.52,2
2452.45,3191.435,0
2759.965,2299.83,2
2614.56,2998.255,3
2264.73,3263.455,0
3041.87,1081.47,2
3136.445,1336.595,2
698.425,2326.675,2
1016.015,2852.59,0
3450.33,1764.165,2
3158.545,1430,2
1083.68,2936.57,0
3533.465,1916.005,2
3229.85,1328.015,1
2168.4,3149.12,0
3036.345,1400.1,2
2803.32,2307.24,2
1191.125,3126.175,0
2759.965,888.745,2
1258.855,2681.965,2
2327.13,3136.315,0
2945.215,1908.465,2
2765.295,1515.475,1
2445.3,3154.515,0
1952.6,3237.52,0
2235.285,2951.39,3
2647.71,2720.445,3
3433.625,2148.055,2
2977.91,2150.85,2
2901.47,1051.57,1
3177.525,1562.99,3
2710.305,1056.25,2
2426.71,3008.46,0
775.905,2572.31,2
1106.82,2658.695,2
2585.895,3236.025,0
1061.97,2714.595,2
2262.91,3029.195,3
3077.1,1482.325,2
961.35,2997.085,0
2900.82,1226.355,2
2842.385,1227.265,0
2551.575,3431.935,0
1132.365,2766.92,2
3111.29,1231.165,2
2073.5,2986.295,3
3089.645,1210.625,2
2256.41,2951.39,3
2417.935,2653.95,3
2168.27,3318.9,0
2615.405,1095.055,2
2022.865,3252.21,0
2808.065,1120.73,2
1570.335,2000.44,3
2168.205,3307.59,0
2968.485,1744.145,2
3048.11,1326.455,2
825.695,2783.95,0
3048.76,1284.725,2
2131.22,2912.195,3
3497.26,1736.54,1
2839.395,1237.145,2
2946.71,1236.69,2
726.57,2638.74,0
2669.94,2819.05,3
3352.05,2048.475,2
3064.165,1147.705,2
1939.405,706.095,2
2027.74,705.185,2
2978.625,1085.63,2
2824.575,1668.42,2
2820.22,1312.48,2
1919.97,3199.17,0
2670.915,982.67,0
959.075,2484.3,2
3288.545,1286.87,2
2561.91,1564.81,1
733.915,2629.965,0
3417.57,1676.805,0
1133.47,2533.765,2
2532.335,2951.065,3
3056.625,1372.28,2
2153.84,2935.205,3
3513.835,2006.55,0
2695.94,2663.96,3
2709.2,919.425,2
2822.495,1281.475,2
2745.08,1959.815,2
2305.875,2940.015,3
639.47,2170.155,2
2819.375,2291.25,2
2122.055,3447.73,0
3067.74,1511.51,2
2024.555,810.095,0
2754.57,1187.225,2
2237.17,2925.325,3
1371.37,2208.96,2
3323.45,1442.87,2
2827.045,2297.815,2
3476.98,2065.375,2
3179.02,1640.99,3
2293.07,3457.545,0
900.9,2714.14,2
1963.78,1143.48,1
2443.22,3285.425,0
2141.685,2917.655,3
2435.225,2811.38,3
2668.38,1940.64,1
2037.62,3365.7,0
2793.96,1291.095,0
1386.19,3135.73,0
3098.94,2837.9,0
3030.105,1019.07,2
2006.68,3295.5,0
2836.86,2383.03,2
2288.455,3125.98,3
1093.17,3062.02,0
1150.695,2469.74,2
1167.53,2912.065,2
2396.615,2899.65,3
1178.97,2758.86,0
2707.12,1015.69,2
2112.175,3117.725,3
849.875,2129.53,2
2653.755,948.805,2
2026.96,2995.265,0
2127.06,731.705,2
2595.97,2881.255,3
2374.84,3154.255,0
2649.14,2999.555,3
2808.455,1305.915,2
2520.505,2683.135,3
2736.565,2694.575,3
1087.06,2470.325,0
1473.095,3291.34,0
2810.665,1787.695,1
2347.605,3250.195,0
2759.315,1169.09,2
2770.235,1641.12,1
2115.035,3257.8,0
2281.37,3495.05,0
3061.045,969.41,3
1005.615,2924.22,0
1245.79,3023.605,0
2086.24,867.36,2
1092.39,3029.26,0
2971.93,2105.09,2
2640.04,3017.95,3
3280.745,1333.67,2
2482.87,2966.015,3
2290.21,3228.42,0
2273.18,2895.685,3
1994.525,3391.895,0
1935.895,770.51,2
2856.75,3039.595,0
985.465,2948.595,0
2701.335,1102.66,3
2169.245,3265.99,0
826.475,2698.15,0
2899,1391.065,2
996.84,2579.395,2
2939.625,1438.385,0
1336.27,2119.52,0
2092.935,3433.885,0
2409.29,2816.775,3
2501.59,3233.49,0
1909.18,3105.635,3
2586.35,2635.815,3
2611.7,2754.83,3
2091.44,890.955,2
2350.075,3448.315,0
3085.42,1548.885,3
2701.465,2997.215,3
2357.42,2994.225,3
1536.925,2031.25,1
1208.09,3024.32,0
2117.895,747.305,2
3066.635,1720.355,2
3031.795,1996.605,2
2874.95,1487.265,2
3185,1830.66,3
2764.385,1499.42,1
1016.34,2370.095,2
3217.045,1809.86,2
2137.46,817.895,2
2476.695,3115.775,0
1496.43,2440.945,2
2944.76,1649.31,2
2363.79,2892.11,3
3084.38,1354.405,2
2701.985,3204.76,0
1929.07,1032.005,2
889.395,2840.175,0
1351.675,2352.155,2
2020.135,3419.455,0
1865.695,1492.79,1
1419.86,2633.475,2
3092.83,1695.72,2
1523.405,2679.885,2
1969.175,1013.025,0
2584.075,2815.67,3
